run_index,trial_id,repeat_id,velocity_ratio,acceleration_ratio,blend_ratio,time_s,position_error_mm,energy_proxy,smoothness_index
0,47,2,25,77,73,22.257061386108397,2.3475983834293945,7.989172184543609,0.7621756770412548
1,2,1,35,56,11,9.049259090423584,2.3475983834293945,2.527458063955307,0.8422945666313998
2,45,0,92,65,48,7.311031246185303,2.319266616410973,7.732512197527886,0.8427933574800819
3,51,0,34,54,98,9.305826568603516,2.319266616410973,2.4325430650329594,0.8831744193894546
4,49,2,87,98,51,5.261154079437256,2.3475983834293945,6.508573711671829,0.6801557064651015
5,69,1,74,93,35,6.046886825561524,2.3475983834293945,5.926251433391571,0.746138725671537
6,27,1,53,28,78,13.927254819869995,2.3775723595775387,4.458114267840386,0.9033934389166995
7,8,2,84,52,16,8.782237672805786,2.3475983834293945,7.384105435295105,0.840737945330171
8,66,0,95,96,49,5.578941488265992,2.3475983834293945,7.605770930953027,0.7016123702643242
9,23,1,65,39,72,11.08632984161377,2.3775723595775387,5.527089742536545,0.8804108544674808
10,6,2,62,43,13,9.898955011367798,2.3475983834293945,4.720316697170735,0.8599508924371554
11,34,2,45,31,59,13.34869065284729,2.3775723595775387,3.344514443070889,0.8988579152675849
12,12,1,84,42,34,9.782697343826294,2.3775723595775387,7.765505151529312,0.8626380624265835
13,62,1,33,84,89,8.069173002243042,2.3475983834293945,3.7255371751356128,0.8324613645404432
14,16,2,49,26,64,15.092808389663697,2.319266616410973,4.133920217928886,0.9137796087132544
15,27,0,53,28,78,14.01094355583191,2.319266616410973,4.484903032221794,0.8971916872327509
16,26,2,97,87,95,6.373807334899903,2.3775723595775387,8.409282707300187,0.7380291807100848
17,25,0,76,24,69,16.005525493621825,2.3475983834293945,9.705750659332274,0.9033921993412373
18,8,0,84,52,16,8.761411094665528,2.3475983834293945,7.366594448394775,0.86085380110214
19,39,2,40,66,82,7.795013809204102,2.3475983834293945,2.94495621711731,0.8558989145068098
20,52,1,89,73,93,6.798574590682984,2.3775723595775387,7.196631132967472,0.796235942443383
21,33,2,77,57,76,7.781635189056397,2.3475983834293945,5.877858140053749,0.8112884146987083
22,38,0,70,26,67,14.915740633010865,2.4091272493247007,7.812864943571091,0.8929772897792062
23,54,0,60,37,38,11.353577995300293,2.4091272493247007,4.864440492086411,0.8847257811177751
24,35,2,71,45,7,9.86616816520691,2.3475983834293945,5.972484898808003,0.851311443543458
